Q-demos-state,mean_price,median_price
Alabama,24.123194437496874,14.59
Alaska,25.896698734177214,16.25
Arizona,21.41030871862997,13.89
Arkansas,22.749929191120184,14.84
California,23.35751616463459,13.99
Colorado,23.221155158216682,13.86
Connecticut,23.762337512171374,14.88
Delaware,20.186600796568626,13.99
District of Columbia,20.95357722772277,12.99
Florida,23.39678732834664,14.63
Georgia,22.287441872143827,13.99
Hawaii,27.48443298969072,15.99
I did not reside in the United States,25.5446875,15.52
Idaho,23.657530338849487,14.3
Illinois,22.810872528440747,14.36
Indiana,21.686476052427423,13.76
Iowa,22.905193124758593,14.99
Kansas,21.126775568181817,12.99
Kentucky,23.685855875044375,13.98
Louisiana,21.782083232048226,14.95
Maine,28.69141099392777,15.99
Maryland,22.072359410666113,13.24
Massachusetts,23.23879338694056,14.75
Michigan,22.428677057376916,13.99
Minnesota,22.95080417108519,14.07
Mississippi,24.40069400921659,14.99
Missouri,22.195734307683917,14.35
Montana,27.72668695321415,17.33
Nebraska,25.27134970284642,14.995000000000001
Nevada,20.980656865516917,12.99
New Hampshire,19.2111042108452,12.95
New Jersey,21.920029746932347,13.99
New Mexico,22.63238918918919,13.99
New York,22.272388012977405,13.99
North Carolina,22.186560046115417,13.99
North Dakota,22.956059431524547,14.99
Ohio,21.608542984993672,13.98
Oklahoma,23.00186985130304,14.24
Oregon,23.050403276293824,13.99
Pennsylvania,21.90648507802435,13.99
Rhode Island,24.098602379683893,14.97
South Carolina,22.91451415853774,13.99
South Dakota,25.510773434216055,15.17
Tennessee,22.516273461400655,13.99
Texas,23.14410727848555,14.13
Utah,23.228101265822783,13.99
Vermont,21.438624809354348,12.95
Virginia,24.270968023309763,14.45
Washington,21.207822484181328,12.99
West Virginia,18.802480854853073,12.99
Wisconsin,22.956183594649207,13.99
Wyoming,33.67541558441558,19.99
