"","reported_marijuana_use","response_ID","total_spend"
"1","I stopped in the recent past","R_0IilpPYiU01nCzn",5996.69
"2","I stopped in the recent past","R_0TXaBMuEhEzmPVD",4069.75
"3","I stopped in the recent past","R_115sFbCaRGwFZzK",2746.15
"4","I stopped in the recent past","R_1BPepcPkpmd3HIv",13597.68
"5","I stopped in the recent past","R_1d1fnT4sjZABBwe",1.84
"6","I stopped in the recent past","R_1dt2pwnEJkg5a7A",10792.66
"7","I stopped in the recent past","R_1feijJrorGlQcf8",1450.52
"8","I stopped in the recent past","R_1flTEAfZ0m6il4S",955.8
"9","I stopped in the recent past","R_1goVjnpaUSfjnbG",2032.29
"10","I stopped in the recent past","R_1gTQqpDTAFyI1fr",1487.32
"11","I stopped in the recent past","R_1H7zLm1nT1XvnWc",2969.95
"12","I stopped in the recent past","R_1Ii7vZJ3EmJx7Uw",988.17
"13","I stopped in the recent past","R_1ik8stGviOCACC4",4024.73
"14","I stopped in the recent past","R_1IWp2m0gvPUsXI2",337.12
"15","I stopped in the recent past","R_1jBvTaC81QY55pk",289.87
"16","I stopped in the recent past","R_1JRRs0ZhgHAXLPG",1109.38
"17","I stopped in the recent past","R_1LCDUCqkRzsNyRo",246.13
"18","I stopped in the recent past","R_1mCx1yadrDajX5p",5902.01
"19","I stopped in the recent past","R_1ODhd1JuDR58zaI",4017.56
"20","I stopped in the recent past","R_1P0kCmz0zdMSEld",11606.75
"21","I stopped in the recent past","R_1pEh9snKHmvLyFZ",5749.28
"22","I stopped in the recent past","R_1ps5hYxMGQuqcuP",8376.74
"23","I stopped in the recent past","R_1pSEkm1mOy4kpKO",3620.23
"24","I stopped in the recent past","R_1q3vKaKE1RXo08q",1758.96
"25","I stopped in the recent past","R_1q4eVtHN10S5gPB",11724.67
"26","I stopped in the recent past","R_1QB1ztGTGqYRyPX",9944.89
"27","I stopped in the recent past","R_1qdM04tmzKHGwRP",1302.79
"28","I stopped in the recent past","R_1qgPz4asGPArm6S",1349.39
"29","I stopped in the recent past","R_1roblAhHdx5MsWd",932.94
"30","I stopped in the recent past","R_216bCmDHZYPaK04",12836.57
"31","I stopped in the recent past","R_21G54IjScAJhDAM",5367.12
"32","I stopped in the recent past","R_21nqmq6huNc0eNi",498.88
"33","I stopped in the recent past","R_265TEOtAdZ1fDzP",286.88
"34","I stopped in the recent past","R_26ndjFF4QlEU81o",8834.68
"35","I stopped in the recent past","R_273TMGuLM3jXisi",13882.55
"36","I stopped in the recent past","R_28TGzmtgBsR6wng",1383.63
"37","I stopped in the recent past","R_294j7DOOunkaWAs",2255.92
"38","I stopped in the recent past","R_29bM1YBU1Urooz8",1807.18
"39","I stopped in the recent past","R_2amNlc55klRXpK1",511.29
"40","I stopped in the recent past","R_2AQiu69aAVY6utf",14463.15
"41","I stopped in the recent past","R_2AXcJk6rRN4M33l",9719.24
"42","I stopped in the recent past","R_2B4mWUorTZ2cm8o",26427.25
"43","I stopped in the recent past","R_2bFoMr1RQvP1aLL",12342.1
"44","I stopped in the recent past","R_2c0HSktNV0gqAh9",7393.77
"45","I stopped in the recent past","R_2c12UVhtx0YA4jg",7850.37
"46","I stopped in the recent past","R_2Ck8lsGxJTKsGgy",753.56
"47","I stopped in the recent past","R_2Cp5sjenoyePcm6",2939.29
"48","I stopped in the recent past","R_2CVcd0LWcIXgOOf",10677.76
"49","I stopped in the recent past","R_2dGaacOj5xLJbDr",1738.28
"50","I stopped in the recent past","R_2dtpXL3ow92qYia",6193.51
"51","I stopped in the recent past","R_2DUObZm4n9gj106",2174.25
"52","I stopped in the recent past","R_2EzTe8QpUidgyXU",778.04
"53","I stopped in the recent past","R_2frj956dhgNpdqD",2392.47
"54","I stopped in the recent past","R_2P6gheLR59JfOIS",2905.26
"55","I stopped in the recent past","R_2PcESd79zlVjd8V",15637.17
"56","I stopped in the recent past","R_2PpVNZupgA2k9mX",3231.97
"57","I stopped in the recent past","R_2pWPV1jAXWmFSlW",17423.63
"58","I stopped in the recent past","R_2RQhQ3wTIHN55hy",2986.89
"59","I stopped in the recent past","R_2rub5xNqa756dIn",3766.74
"60","I stopped in the recent past","R_2rVfgIfX5IVQgoF",4545.16
"61","I stopped in the recent past","R_2sRqLYPSneIHZfJ",8052.91
"62","I stopped in the recent past","R_2tfHzrdo6EEaiWi",12155.35
"63","I stopped in the recent past","R_2tyYhOqEzk4TUTg",587.75
"64","I stopped in the recent past","R_2uOMPdYOjCCWWfO",796.15
"65","I stopped in the recent past","R_2Wu88yZoHaNzChK",3268.12
"66","I stopped in the recent past","R_2z8yiBMflqyv62J",11379.14
"67","I stopped in the recent past","R_2zAOD6IbPzXuthy",11522.49
"68","I stopped in the recent past","R_2ZKwvQaCWvHI4ey",16411.77
"69","I stopped in the recent past","R_2ZOgImZ5BSZcQoz",23594.43
"70","I stopped in the recent past","R_31MoRcfEFe73eTY",3266.56
"71","I stopped in the recent past","R_323eLlTqyrDLgr3",4575.1
"72","I stopped in the recent past","R_325B8uB2XOflUvO",4641.79
"73","I stopped in the recent past","R_32JTTc2KQDDEb85",352.77
"74","I stopped in the recent past","R_3dADURjIwZRVKVj",3735
"75","I stopped in the recent past","R_3dS1nRgjgsfkhHc",7804.01
"76","I stopped in the recent past","R_3DTHzBWuB6iePzb",1289.58
"77","I stopped in the recent past","R_3dW9s3p839y097G",2224.58
"78","I stopped in the recent past","R_3EKbufgfGp0iJqN",1828.43
"79","I stopped in the recent past","R_3EMaONYGibovcxQ",10717.73
"80","I stopped in the recent past","R_3epZGNOjd1lIJKO",706.91
"81","I stopped in the recent past","R_3exHO4xJjgNP9gR",1110.57
"82","I stopped in the recent past","R_3GrjtiJ9M19hViM",8535.89
"83","I stopped in the recent past","R_3Hhlv3A6Jj4ne7z",4368.4
"84","I stopped in the recent past","R_3HIaDXXmCJjh0cd",8886.41
"85","I stopped in the recent past","R_3Ib0CpTLQzDVjiC",6817.34
"86","I stopped in the recent past","R_3J8AqRUvn6mrFaY",1508.32
"87","I stopped in the recent past","R_3JJjfKRNxZz1JWa",6349.88
"88","I stopped in the recent past","R_3JsfA4yWHSMhWdo",268.18
"89","I stopped in the recent past","R_3kueJwyzqVs2sxR",4636.58
"90","I stopped in the recent past","R_3Kvy0jttvObgMi8",244.59
