"","year_month","gender","monthly_mean_total_spend"
"1",2018-01-01,"Female",335.843145553064
"2",2018-01-01,"Male",386.428934538483
"3",2018-01-01,"Other",284.978302325581
"4",2018-01-01,"Prefer not to say",205.521666666667
"5",2018-02-01,"Female",288.631427018802
"6",2018-02-01,"Male",369.928916537867
"7",2018-02-01,"Other",244.948979591837
"8",2018-02-01,"Prefer not to say",199.611111111111
"9",2018-03-01,"Female",334.901260183043
"10",2018-03-01,"Male",373.868135101533
"11",2018-03-01,"Other",195.72793814433
"12",2018-03-01,"Prefer not to say",39.50625
"13",2018-04-01,"Female",315.474597962722
"14",2018-04-01,"Male",300.632548696434
"15",2018-04-01,"Other",167.159375
"16",2018-04-01,"Prefer not to say",39.6233333333333
"17",2018-05-01,"Female",356.893445534331
"18",2018-05-01,"Male",331.395957025728
"19",2018-05-01,"Other",296.1195
"20",2018-05-01,"Prefer not to say",207.654
"21",2018-06-01,"Female",330.315684062059
"22",2018-06-01,"Male",360.261495708456
"23",2018-06-01,"Other",206.878956521739
"24",2018-06-01,"Prefer not to say",77.383
"25",2018-07-01,"Female",393.34203964134
"26",2018-07-01,"Male",450.036721735914
"27",2018-07-01,"Other",521.876041666667
"28",2018-07-01,"Prefer not to say",28.8766666666667
"29",2018-08-01,"Female",316.930979615496
"30",2018-08-01,"Male",358.457312780829
"31",2018-08-01,"Other",395.407028571429
"32",2018-08-01,"Prefer not to say",73.962
"33",2018-09-01,"Female",324.425763613603
"34",2018-09-01,"Male",301.728175909879
"35",2018-09-01,"Other",280.415209003215
"36",2018-09-01,"Prefer not to say",54.9
"37",2018-10-01,"Female",321.880586372459
"38",2018-10-01,"Male",350.674912423625
"39",2018-10-01,"Other",197.522747252747
"40",2018-10-01,"Prefer not to say",49.4183333333333
"41",2018-11-01,"Female",447.568693225264
"42",2018-11-01,"Male",415.508205785036
"43",2018-11-01,"Other",346.615142045455
"44",2018-11-01,"Prefer not to say",66.002
"45",2018-12-01,"Female",441.421290381456
"46",2018-12-01,"Male",416.375076150628
"47",2018-12-01,"Other",354.263824786325
"48",2018-12-01,"Prefer not to say",85.8712121212121
"49",2019-01-01,"Female",318.937298741284
"50",2019-01-01,"Male",326.886310314576
"51",2019-01-01,"Other",317.633694444444
"52",2019-01-01,"Prefer not to say",104.034
"53",2019-02-01,"Female",346.680672591396
"54",2019-02-01,"Male",336.91753562082
"55",2019-02-01,"Other",577.74891025641
"56",2019-02-01,"Prefer not to say",121.98
"57",2019-03-01,"Female",370.713542940586
"58",2019-03-01,"Male",358.192419354839
"59",2019-03-01,"Other",198.004208333333
"60",2019-03-01,"Prefer not to say",9.99
"61",2019-04-01,"Female",338.647451245414
"62",2019-04-01,"Male",332.413738043617
"63",2019-04-01,"Other",179.085286885246
"64",2019-04-01,"Prefer not to say",81.1975
"65",2019-05-01,"Female",321.89563139628
"66",2019-05-01,"Male",358.881835796795
"67",2019-05-01,"Other",341.602580645161
"68",2019-05-01,"Prefer not to say",50.962
"69",2019-06-01,"Female",323.687697803179
"70",2019-06-01,"Male",353.699805575076
"71",2019-06-01,"Other",215.801911764706
"72",2019-06-01,"Prefer not to say",103.02
"73",2019-07-01,"Female",430.660274777753
"74",2019-07-01,"Male",433.198794247788
"75",2019-07-01,"Other",396.983430420712
"76",2019-07-01,"Prefer not to say",269.885277777778
"77",2019-08-01,"Female",334.016085391788
"78",2019-08-01,"Male",336.589698280643
"79",2019-08-01,"Other",374.602288828338
"80",2019-08-01,"Prefer not to say",101.618125
"81",2019-09-01,"Female",332.933205388917
"82",2019-09-01,"Male",359.181340546697
"83",2019-09-01,"Other",177.069103942652
"84",2019-09-01,"Prefer not to say",62.1188235294118
"85",2019-10-01,"Female",366.149410423709
"86",2019-10-01,"Male",382.977959541748
"87",2019-10-01,"Other",386.38
"88",2019-10-01,"Prefer not to say",91.7825
"89",2019-11-01,"Female",472.058909323116
"90",2019-11-01,"Male",483.876585232452
"91",2019-11-01,"Other",334.013624338624
"92",2019-11-01,"Prefer not to say",26.99
"93",2019-12-01,"Female",519.008000862937
"94",2019-12-01,"Male",482.787075657671
"95",2019-12-01,"Other",397.074580291971
"96",2019-12-01,"Prefer not to say",240.707428571429
"97",2020-01-01,"Female",357.945792004215
"98",2020-01-01,"Male",357.757181503323
"99",2020-01-01,"Other",335.878318965517
"100",2020-01-01,"Prefer not to say",70.83
"101",2020-02-01,"Female",343.520905514733
"102",2020-02-01,"Male",382.448584578838
"103",2020-02-01,"Other",370.980780590717
"104",2020-02-01,"Prefer not to say",546.710392156863
"105",2020-03-01,"Female",415.175536551375
"106",2020-03-01,"Male",441.286628731507
"107",2020-03-01,"Other",288.831044083527
"108",2020-03-01,"Prefer not to say",78.6936363636364
"109",2020-04-01,"Female",465.987408699567
"110",2020-04-01,"Male",463.729174167061
"111",2020-04-01,"Other",746.749366602687
"112",2020-04-01,"Prefer not to say",121.807428571429
"113",2020-05-01,"Female",470.598768576407
"114",2020-05-01,"Male",492.675705454046
"115",2020-05-01,"Other",754.978159806295
"116",2020-05-01,"Prefer not to say",110.675833333333
"117",2020-06-01,"Female",510.461877869378
"118",2020-06-01,"Male",456.152331651045
"119",2020-06-01,"Other",377.919027777778
"120",2020-06-01,"Prefer not to say",266.894181818182
"121",2020-07-01,"Female",474.501201630328
"122",2020-07-01,"Male",462.748411498799
"123",2020-07-01,"Other",433.135109677419
"124",2020-07-01,"Prefer not to say",141.3675
"125",2020-08-01,"Female",514.714026728372
"126",2020-08-01,"Male",450.335375905479
"127",2020-08-01,"Other",372.368503597122
"128",2020-08-01,"Prefer not to say",36.3253846153846
"129",2020-09-01,"Female",465.989747271979
"130",2020-09-01,"Male",465.869478181263
"131",2020-09-01,"Other",428.417563930013
"132",2020-09-01,"Prefer not to say",165.245
"133",2020-10-01,"Female",522.966177471264
"134",2020-10-01,"Male",550.621331707648
"135",2020-10-01,"Other",819.708493003229
"136",2020-10-01,"Prefer not to say",43.026
"137",2020-11-01,"Female",524.072371870771
"138",2020-11-01,"Male",622.105413506013
"139",2020-11-01,"Other",455.915732708089
"140",2020-11-01,"Prefer not to say",114.456551724138
"141",2020-12-01,"Female",584.395216037369
"142",2020-12-01,"Male",523.656199847776
"143",2020-12-01,"Other",453.847900943396
"144",2020-12-01,"Prefer not to say",348.549
"145",2021-01-01,"Female",499.17352330902
"146",2021-01-01,"Male",456.28235026738
"147",2021-01-01,"Other",475.023814553991
"148",2021-01-01,"Prefer not to say",146.9445
"149",2021-02-01,"Female",446.534252671795
"150",2021-02-01,"Male",438.935982136211
"151",2021-02-01,"Other",437.637238912732
"152",2021-02-01,"Prefer not to say",67.930625
"153",2021-03-01,"Female",607.216180742768
"154",2021-03-01,"Male",664.822217711535
"155",2021-03-01,"Other",571.596924686192
"156",2021-03-01,"Prefer not to say",163.1190625
"157",2021-04-01,"Female",587.313283378146
"158",2021-04-01,"Male",558.490359721424
"159",2021-04-01,"Other",487.867569444444
"160",2021-04-01,"Prefer not to say",450.506417910448
"161",2021-05-01,"Female",497.560184965831
"162",2021-05-01,"Male",538.250977670489
"163",2021-05-01,"Other",381.789108187135
"164",2021-05-01,"Prefer not to say",197.629285714286
"165",2021-06-01,"Female",600.364056969493
"166",2021-06-01,"Male",602.705082937658
"167",2021-06-01,"Other",571.968858501784
"168",2021-06-01,"Prefer not to say",135.571176470588
"169",2021-07-01,"Female",485.412367761758
"170",2021-07-01,"Male",460.725296695402
"171",2021-07-01,"Other",434.535484848485
"172",2021-07-01,"Prefer not to say",122.281176470588
"173",2021-08-01,"Female",481.76647782267
"174",2021-08-01,"Male",564.675447591884
"175",2021-08-01,"Other",434.221948051948
"176",2021-08-01,"Prefer not to say",178.058387096774
"177",2021-09-01,"Female",423.352863001288
"178",2021-09-01,"Male",450.954226773742
"179",2021-09-01,"Other",488.454767080745
"180",2021-09-01,"Prefer not to say",117.2125
"181",2021-10-01,"Female",444.146357388316
"182",2021-10-01,"Male",513.205028383832
"183",2021-10-01,"Other",484.540075642965
"184",2021-10-01,"Prefer not to say",91.1948
"185",2021-11-01,"Female",567.754081632653
"186",2021-11-01,"Male",640.232994090611
"187",2021-11-01,"Other",576.301580796253
"188",2021-11-01,"Prefer not to say",163.717837837838
"189",2021-12-01,"Female",616.615837267037
"190",2021-12-01,"Male",544.16974132101
"191",2021-12-01,"Other",472.541221590909
"192",2021-12-01,"Prefer not to say",177.898947368421
"193",2022-01-01,"Female",472.029691094917
"194",2022-01-01,"Male",431.169812409812
"195",2022-01-01,"Other",353.515663551402
"196",2022-01-01,"Prefer not to say",115.613333333333
"197",2022-02-01,"Female",466.59233736327
"198",2022-02-01,"Male",470.902874622597
"199",2022-02-01,"Other",387.375587121212
"200",2022-02-01,"Prefer not to say",152.966785714286
"201",2022-03-01,"Female",626.131972761414
"202",2022-03-01,"Male",531.972850494057
"203",2022-03-01,"Other",464.282068965517
"204",2022-03-01,"Prefer not to say",177.467333333333
"205",2022-04-01,"Female",515.338500721031
"206",2022-04-01,"Male",467.275071285999
"207",2022-04-01,"Other",394.906365079365
"208",2022-04-01,"Prefer not to say",65.3
"209",2022-05-01,"Female",498.243741704711
"210",2022-05-01,"Male",460.870375524476
"211",2022-05-01,"Other",342.825532994924
"212",2022-05-01,"Prefer not to say",116.513333333333
"213",2022-06-01,"Female",542.015635845987
"214",2022-06-01,"Male",503.980069880205
"215",2022-06-01,"Other",524.68359886202
"216",2022-06-01,"Prefer not to say",196.989285714286
"217",2022-07-01,"Female",586.031378695828
"218",2022-07-01,"Male",657.898324002167
