"","year_month","gender","age","monthly_mean_total_spend_by_agegroup"
"1",2018-01-01,"Female","18 - 24 years",224.231402116402
"2",2018-01-01,"Female","25 - 34 years",230.496413955049
"3",2018-01-01,"Female","35 - 44 years",453.120468110006
"4",2018-01-01,"Female","45 - 54 years",364.49768115942
"5",2018-01-01,"Female","55 - 64 years",300.2903515625
"6",2018-01-01,"Female","65 and older",209.725725806452
"7",2018-02-01,"Female","18 - 24 years",250.63567114094
"8",2018-02-01,"Female","25 - 34 years",230.111243902439
"9",2018-02-01,"Female","35 - 44 years",352.04902173913
"10",2018-02-01,"Female","45 - 54 years",287.891095238095
"11",2018-02-01,"Female","55 - 64 years",301.311456211813
"12",2018-02-01,"Female","65 and older",132.583924050633
"13",2018-03-01,"Female","18 - 24 years",249.7217208413
"14",2018-03-01,"Female","25 - 34 years",278.878100846522
"15",2018-03-01,"Female","35 - 44 years",386.070065768869
"16",2018-03-01,"Female","45 - 54 years",366.375695150115
"17",2018-03-01,"Female","55 - 64 years",345.707593436645
"18",2018-03-01,"Female","65 and older",146.938064516129
"19",2018-04-01,"Female","18 - 24 years",170.254882882883
"20",2018-04-01,"Female","25 - 34 years",205.020943555181
"21",2018-04-01,"Female","35 - 44 years",405.343
"22",2018-04-01,"Female","45 - 54 years",311.622121212121
"23",2018-04-01,"Female","55 - 64 years",418.321054579093
"24",2018-04-01,"Female","65 and older",146.795401785714
"25",2018-05-01,"Female","18 - 24 years",250.224400684932
"26",2018-05-01,"Female","25 - 34 years",338.982944543828
"27",2018-05-01,"Female","35 - 44 years",394.662098360656
"28",2018-05-01,"Female","45 - 54 years",276.23312267658
"29",2018-05-01,"Female","55 - 64 years",516.771361665221
"30",2018-05-01,"Female","65 and older",196.458590909091
"31",2018-06-01,"Female","18 - 24 years",202.557688073395
"32",2018-06-01,"Female","25 - 34 years",229.854234714813
"33",2018-06-01,"Female","35 - 44 years",374.41178665786
"34",2018-06-01,"Female","45 - 54 years",311.890396090535
"35",2018-06-01,"Female","55 - 64 years",580.278199608611
