"","gender","year_month","monthly_spend"
"1","Female",2018-01-01,19.9783987294469
"2","Female",2018-02-01,20.1177448103467
"3","Female",2018-03-01,20.2240852861309
"4","Female",2018-04-01,20.2859980494148
"5","Female",2018-05-01,21.2574641197728
"6","Female",2018-06-01,21.0747683628079
"7","Female",2018-07-01,23.0098716375649
"8","Female",2018-08-01,21.2718780794126
"9","Female",2018-09-01,20.8513269351137
"10","Female",2018-10-01,20.2324731841863
"11","Female",2018-11-01,22.7672495794464
"12","Female",2018-12-01,21.3480124110239
"13","Female",2019-01-01,20.158665217785
"14","Female",2019-02-01,21.289364774793
"15","Female",2019-03-01,20.7127352377476
"16","Female",2019-04-01,21.3499440046341
"17","Female",2019-05-01,21.7135027142476
"18","Female",2019-06-01,21.7875325951063
"19","Female",2019-07-01,23.248747336713
"20","Female",2019-08-01,20.468261082938
"21","Female",2019-09-01,20.02918318929
"22","Female",2019-10-01,20.602659382124
"23","Female",2019-11-01,21.6499003831418
"24","Female",2019-12-01,21.6889697492689
"25","Female",2020-01-01,18.9061417374695
"26","Female",2020-02-01,19.6525027833445
"27","Female",2020-03-01,19.182555428861
"28","Female",2020-04-01,20.6093196781273
"29","Female",2020-05-01,20.6138234088347
"30","Female",2020-06-01,19.8824534728736
"31","Female",2020-07-01,19.6925024553133
"32","Female",2020-08-01,19.4986409142425
"33","Female",2020-09-01,19.1744976322833
"34","Female",2020-10-01,20.5529236781609
"35","Female",2020-11-01,20.7833271312585
"36","Female",2020-12-01,20.808171909834
"37","Female",2021-01-01,20.6258283876229
"38","Female",2021-02-01,20.30839124374
"39","Female",2021-03-01,21.9091703214904
"40","Female",2021-04-01,21.2328505311412
"41","Female",2021-05-01,21.2873908883827
"42","Female",2021-06-01,22.1732428788134
"43","Female",2021-07-01,20.0805213897424
"44","Female",2021-08-01,20.2798210717933
"45","Female",2021-09-01,19.4950045300653
"46","Female",2021-10-01,19.5743494009473
"47","Female",2021-11-01,22.6989528137299
"48","Female",2021-12-01,21.7103199412567
"49","Female",2022-01-01,20.5826334845777
"50","Female",2022-02-01,20.8063039723661
"51","Female",2022-03-01,20.8026301977286
"52","Female",2022-04-01,20.8174624366191
"53","Female",2022-05-01,21.335034593119
"54","Female",2022-06-01,22.1171624186551
"55","Female",2022-07-01,22.7077630619684
"56","Female",2022-08-01,21.0927914818101
"57","Female",2022-09-01,20.6262003279321
"58","Female",2022-10-01,21.527422345449
"59","Female",2022-11-01,22.1846953607623
"60","Female",2022-12-01,21.7572351109772
"61","Female",2023-01-01,20.6280075698758
"62","Female",2023-02-01,20.5764099988841
"63","Female",2023-03-01,20.5906847253574
"64","Female",2023-05-01,44.95
"65","Female",2023-06-01,19.3216666666667
"66","Female",2023-07-01,14.41
"67","Female",2023-09-01,19.95
"68","Male",2018-01-01,25.1937154204328
"69","Male",2018-02-01,25.7147836166924
"70","Male",2018-03-01,25.1413662108026
"71","Male",2018-04-01,24.4361162721007
"72","Male",2018-05-01,25.388989256432
"73","Male",2018-06-01,25.9222372308991
"74","Male",2018-07-01,29.6970472198249
"75","Male",2018-08-01,26.0958861707439
"76","Male",2018-09-01,25.97141536684
"77","Male",2018-10-01,25.9820027155465
"78","Male",2018-11-01,27.8205571565802
"79","Male",2018-12-01,25.738939748954
"80","Male",2019-01-01,25.1722233362577
"81","Male",2019-02-01,27.6682291363769
"82","Male",2019-03-01,25.3522504445009
"83","Male",2019-04-01,25.4335505675297
"84","Male",2019-05-01,25.8626891069432
"85","Male",2019-06-01,25.3953712813305
"86","Male",2019-07-01,27.2994991954948
"87","Male",2019-08-01,24.0257215751525
"88","Male",2019-09-01,25.1267642369021
"89","Male",2019-10-01,23.558918361028
"90","Male",2019-11-01,27.5012670920693
"91","Male",2019-12-01,25.3379409965332
"92","Male",2020-01-01,22.2849283909014
"93","Male",2020-02-01,21.9754716420865
"94","Male",2020-03-01,23.2075741924188
"95","Male",2020-04-01,24.5620582662245
"96","Male",2020-05-01,24.6369927187801
"97","Male",2020-06-01,24.7299589041096
"98","Male",2020-07-01,24.6537406413335
"99","Male",2020-08-01,23.0393747802236
"100","Male",2020-09-01,23.8184200488251
"101","Male",2020-10-01,26.4521357447673
"102","Male",2020-11-01,26.0962251002159
"103","Male",2020-12-01,24.8715695335435
"104","Male",2021-01-01,23.4831624331551
"105","Male",2021-02-01,24.2393814663193
"106","Male",2021-03-01,26.9803920431479
"107","Male",2021-04-01,25.2321992204971
"108","Male",2021-05-01,25.4612237645008
"109","Male",2021-06-01,27.3493475981994
"110","Male",2021-07-01,23.2834454022988
"111","Male",2021-08-01,23.4847118688015
"112","Male",2021-09-01,23.6330022839461
"113","Male",2021-10-01,24.838624581082
"114","Male",2021-11-01,27.8448039157166
"115","Male",2021-12-01,25.5121697475203
